frame velocity-addSource velocity-diffuse velocity-project1 velocity-advect velocity-project2 density-addSource density-diffuse density-advect 
0.000235 0.020704 1.881984 0.737216 0.095232 0.732832 0.007584 0.623968 0.032416 
0.000236 0.020608 1.879616 0.733184 0.0952 0.733504 0.00752 0.623936 0.032416 
0.000237 0.020704 1.894464 0.733184 0.095232 0.73088 0.00768 0.624192 0.032512 
0.000238 0.025472 1.880128 0.735872 0.09568 0.737152 0.007552 0.63008 0.03248 
0.000239 0.028096 2.066496 0.801216 0.103968 0.802016 0.007264 0.693568 0.035968 
0.00024 0.02192 2.061696 0.803936 0.103488 0.802848 0.007808 0.693184 0.035936 
0.000241 0.021984 2.068032 0.799488 0.108768 0.806016 0.007776 0.692832 0.03552 
0.000242 0.022144 2.0712 0.799968 0.103584 0.804224 0.007648 0.700928 0.035584 
0.000243 0.021984 2.057952 0.806176 0.103776 0.802784 0.00752 0.688864 0.035488 
0.000244 0.021984 2.061344 0.80256 0.104032 0.810528 0.00752 0.687488 0.035552 
0.000245 0.022304 2.074496 0.801664 0.103936 0.80256 0.007744 0.687392 0.04272 
0.000246 0.022272 2.062976 0.799584 0.103712 0.807328 0.007744 0.699712 0.035616 
0.000247 0.0224 2.069952 0.799296 0.103584 0.811424 0.007648 0.692672 0.03568 
0.000248 0.022048 2.0752 0.804704 0.103712 0.802752 0.007616 0.688864 0.035648 
0.000249 0.02192 2.059136 0.804064 0.103936 0.809408 0.008032 0.700448 0.035584 
0.00025 0.022048 2.067936 0.806272 0.104096 0.80256 0.007616 0.694624 0.035616 
0.000251 0.022176 2.062976 0.802112 0.103488 0.806528 0.007424 0.687776 0.037376 
0.000252 0.021984 2.065888 0.802656 0.105152 0.80336 0.007808 0.688608 0.035584 
0.000253 0.0224 2.071392 0.799712 0.103392 0.80304 0.00752 0.689408 0.035616 
0.000254 0.022208 2.064544 0.8064 0.103872 0.808 0.007744 0.688256 0.03552 
0.000255 0.021728 2.058784 0.802848 0.103648 0.810112 0.007904 0.692512 0.035584 
0.000256 0.021984 2.062336 0.801312 0.10384 0.80208 0.007648 0.691328 0.035616 
0.000257 0.029472 2.063232 0.79936 0.107488 0.802688 0.007904 0.690816 0.035616 
0.000258 0.02528 2.112704 0.828192 0.106464 0.82352 0.007968 0.70704 0.03808 
0.000259 0.027936 2.109056 0.824704 0.106592 0.822816 0.008352 0.711136 0.037568 
0.00026 0.024544 2.120288 0.823008 0.106176 0.824416 0.008704 0.706368 0.037472 
0.000261 0.024512 2.111232 0.823712 0.113696 0.826496 0.008256 0.706464 0.037504 
0.000262 0.024544 2.10864 0.82736 0.106432 0.823264 0.008352 0.71296 0.037568 
0.000263 0.024448 2.110912 0.823008 0.10608 0.823648 0.008576 0.706656 0.037504 
0.000264 0.024704 2.11424 0.828992 0.106336 0.82544 0.0088 0.710112 0.03776 
0.000265 0.02496 2.120992 0.830048 0.110176 0.824096 0.010208 0.70688 0.037728 
0.000266 0.02432 2.119264 0.831456 0.1064 0.82528 0.00848 0.70672 0.037504 
0.000267 0.024864 2.11312 0.829824 0.1064 0.837472 0.008352 0.710944 0.037472 
0.000268 0.0248 2.109792 0.823488 0.10656 0.823584 0.00864 0.7136 0.0376 
0.000269 0.025024 2.1096 0.8264 0.106208 0.828064 0.008512 0.706432 0.037728 
0.00027 0.024224 2.11984 0.824672 0.110688 0.826784 0.008608 0.707136 0.0376 
0.000271 0.024704 2.120672 0.824576 0.106464 0.827488 0.008352 0.706496 0.0376 
0.000272 0.024736 2.112832 0.830528 0.113248 0.82544 0.008384 0.7104 0.037408 
0.000273 0.02912 2.114208 0.833056 0.1064 0.825888 0.00848 0.713888 0.037408 
0.000274 0.024736 2.106464 0.824416 0.106208 0.829504 0.00816 0.707424 0.037504 
0.000275 0.02528 2.114176 0.8232 0.106368 0.824768 0.008448 0.711072 0.037664 
0.000276 0.024672 2.120736 0.833824 0.106368 0.824288 0.0088 0.707936 0.037504 
0.000277 0.0312 2.251168 0.867424 0.120608 0.876064 0.008576 0.758528 0.041664 
0.000278 0.02816 2.25168 0.87008 0.121376 0.875264 0.00976 0.75696 0.04096 
0.000279 0.029888 2.249152 0.87072 0.123872 0.881856 0.009824 0.76464 0.041248 
0.00028 0.028416 2.24432 0.867616 0.1208 0.880864 0.009504 0.757792 0.04112 
0.000281 0.028224 2.262112 0.866016 0.121152 0.874816 0.010048 0.75728 0.04304 
0.000282 0.028416 2.24736 0.870208 0.121376 0.87984 0.009728 0.757056 0.040992 
0.000283 0.028352 2.251232 0.869024 0.120608 0.87616 0.009664 0.756896 0.040992 
0.000284 0.028192 2.251008 0.873024 0.121152 0.87536 0.00976 0.757152 0.040928 
0.000285 0.028 2.250592 0.874144 0.1208 0.881504 0.009344 0.758464 0.041024 
0.000286 0.028352 2.246816 0.86784 0.121664 0.876128 0.010112 0.76336 0.041056 
0.000287 0.028192 2.25088 0.879264 0.121376 0.87808 0.009664 0.757536 0.041088 
